** CONVERTED FROM demo01_2023_01_20_19_48.EDF using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Mon Jan 23 11:00:12 2023
** DATE: Fri Jan 20 19:48:05 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.31 Nov 25 2008
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-92827
** CAMERA_CONFIG: 92827140.SCD
** RECORDED BY mlcm_experiment_with_eyetracker.py
**

MSG	603622 DISPLAY_COORDS  0 0 1919 1079
INPUT	617388	120
INPUT	632926	120
INPUT	669473	120
INPUT	683047	120
INPUT	699691	120
MSG	699949 TRIALID 0
INPUT	700006	120
INPUT	704667	120
MSG	704706 RECCFG CR 1000 1 1 L
MSG	704706 ELCLCFG BTABLER
MSG	704706 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	704706 THRESHOLDS L 96 244
MSG	704706 ELCL_PROC ELLIPSE  (5)
MSG	704706 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	704707 !MODE RECORD CR 1000 1 1 L
START	704708 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	704708	120
704859	  998.4	  491.3	 3545.0	...
704860	  998.4	  491.7	 3545.0	...
704861	  997.9	  491.7	 3541.0	...
704862	  997.4	  491.7	 3544.0	...
704863	  996.5	  491.7	 3544.0	...
704864	  996.6	  494.5	 3540.0	...
704865	  996.6	  494.5	 3540.0	...
704866	  995.4	  492.4	 3548.0	...
704867	  995.4	  492.4	 3548.0	...
704868	  998.0	  492.5	 3547.0	...
704869	  998.1	  493.3	 3547.0	...
704870	  998.8	  492.4	 3547.0	...
704871	  998.9	  492.4	 3547.0	...
704872	  999.0	  496.6	 3548.0	...
704873	  996.6	  496.5	 3548.0	...
704874	  996.6	  496.2	 3548.0	...
704875	  996.8	  495.8	 3545.0	...
704876	  996.9	  493.0	 3546.0	...
704877	  997.0	  493.0	 3547.0	...
704878	  997.0	  493.0	 3547.0	...
704879	  997.0	  493.0	 3547.0	...
704880	  996.8	  495.0	 3545.0	...
704881	  996.8	  494.4	 3545.0	...
704882	  996.2	  494.4	 3546.0	...
704883	  996.2	  494.7	 3548.0	...
704884	  996.0	  494.7	 3550.0	...
704885	  996.0	  494.7	 3553.0	...
704886	  996.6	  493.2	 3553.0	...
704887	  995.8	  493.1	 3553.0	...
704888	  995.8	  492.3	 3551.0	...
704889	  999.8	  492.5	 3549.0	...
704890	  999.8	  494.7	 3549.0	...
704891	  998.0	  494.7	 3548.0	...
704892	  998.0	  494.7	 3548.0	...
704893	  997.2	  495.8	 3551.0	...
704894	  997.2	  495.8	 3553.0	...
704895	  997.6	  495.7	 3561.0	...
704896	  997.5	  495.7	 3561.0	...
704897	  997.5	  496.3	 3564.0	...
704898	  997.5	  495.7	 3564.0	...
704899	  997.5	  495.7	 3565.0	...
704900	  997.6	  495.2	 3565.0	...
704901	  997.9	  495.2	 3561.0	...
