** CONVERTED FROM demo00.EDF using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Thu Jul 20 11:54:04 2023
** DATE: Thu Jul 20 10:42:47 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.31 Nov 25 2008
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-92827
** CAMERA_CONFIG: 92827140.SCD
** RECORDED BY mlcm_experiment_with_eyetracker.py
**

MSG	427082 DISPLAY_COORDS  0 0 1919 1079
INPUT	431643	120
INPUT	453379	120
MSG	455733 TRIALID 0
INPUT	455792	120
INPUT	462314	120
MSG	462354 RECCFG CR 1000 1 1 R
MSG	462354 ELCLCFG BTABLER
MSG	462354 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	462354 THRESHOLDS R 97 242
MSG	462354 ELCL_PROC ELLIPSE  (5)
MSG	462354 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	462355 !MODE RECORD CR 1000 1 1 R
START	462356 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	462356	120
462563	  978.5	  554.6	 1762.0	...
462564	  979.8	  556.5	 1763.0	...
462565	  981.2	  555.8	 1763.0	...
462566	  980.6	  555.2	 1763.0	...
462567	  980.6	  557.4	 1763.0	...
462568	  981.0	  557.4	 1763.0	...
462569	  981.0	  556.7	 1763.0	...
462570	  980.9	  556.1	 1763.0	...
462571	  980.8	  553.9	 1760.0	...
462572	  980.8	  553.9	 1761.0	...
462573	  979.4	  550.7	 1761.0	...
462574	  979.4	  550.6	 1769.0	...
462575	  979.4	  551.1	 1769.0	...
462576	  979.4	  551.5	 1770.0	...
462577	  978.6	  551.3	 1770.0	...
462578	  978.6	  551.3	 1769.0	...
462579	  977.9	  553.6	 1769.0	...
462580	  977.9	  553.6	 1769.0	...
462581	  977.8	  554.9	 1769.0	...
462582	  977.8	  555.1	 1771.0	...
462583	  979.9	  555.0	 1771.0	...
462584	  982.1	  556.4	 1767.0	...
462585	  982.1	  556.4	 1767.0	...
462586	  982.4	  553.4	 1772.0	...
462587	  982.8	  553.3	 1771.0	...
462588	  982.4	  554.6	 1771.0	...
462589	  982.4	  554.6	 1770.0	...
462590	  982.4	  554.2	 1770.0	...
462591	  983.6	  553.9	 1772.0	...
462592	  983.1	  552.2	 1772.0	...
462593	  983.1	  551.6	 1772.0	...
462594	  983.1	  551.6	 1769.0	...
462595	  981.0	  554.8	 1769.0	...
462596	  981.0	  554.8	 1769.0	...
462597	  981.3	  548.8	 1772.0	...
462598	  981.3	  548.8	 1779.0	...
462599	  981.8	  551.3	 1779.0	...
462600	  982.2	  551.3	 1771.0	...
462601	  982.2	  552.0	 1771.0	...
462602	  983.0	  551.9	 1770.0	...
462603	  983.0	  551.9	 1770.0	...
462604	  980.4	  552.0	 1778.0	...
462605	  980.4	  552.5	 1777.0	...
462606	  984.2	  552.9	 1777.0	...
462607	  984.2	  552.8	 1784.0	...
462608	  984.2	  552.8	 1784.0	...
462609	  983.0	  555.0	 1784.0	...
462610	  982.5	  555.0	 1785.0	...
462611	  982.5	  555.8	 1782.0	...
462612	  982.5	  555.8	 1782.0	...
462613	  982.9	  551.4	 1779.0	...
462614	  982.8	  551.4	 1779.0	...
462615	  982.8	  552.5	 1779.0	...
462616	  982.8	  553.6	 1776.0	...
462617	  983.2	  551.2	 1776.0	...
462618	  983.2	  551.0	 1791.0	...
462619	  983.2	  551.0	 1791.0	...
462620	  983.2	  552.8	 1791.0	...
462621	  982.3	  553.0	 1791.0	...
462622	  982.3	  553.2	 1791.0	...
462623	  982.0	  553.2	 1791.0	...
462624	  982.0	  553.5	 1792.0	...
462625	  982.0	  553.5	 1793.0	...
462626	  982.7	  553.5	 1793.0	...
462627	  982.7	  554.2	 1795.0	...
462628	  981.5	  554.2	 1795.0	...
462629	  981.5	  553.0	 1789.0	...
462630	  984.0	  553.2	 1789.0	...
462631	  984.0	  553.2	 1793.0	...
